,year,region,No. of Accidents,No. of Casualties - Dead,No. of Casualties - Injured,driving_licenses,x,y
0,2016,Al-Jouf,10212,245,920,9371,29.967744576199998,39.5570371172
1,2016,Asir,32684,983,2541,41367,19.1387847401,42.941470036
2,2016,Eastern,101619,1113,4893,142307,23.2883307307,50.1478302439
3,2016,Hail,10199,299,932,54507,27.400845724,41.4406960508
4,2016,Jazan,25873,514,2259,11504,17.207231396199997,42.6525807422
5,2016,Madinah,14475,822,4184,24540,24.927534539,39.4918237173
6,2016,Makkah,134838,2243,12383,136055,21.628962766,41.2636898334
7,2016,Najran,3235,173,706,2153,18.4511003068,46.868849572600006
8,2016,Northern Boarder,13196,193,631,4958,30.197074783,41.8171186952
9,2016,Al-Qassim,25664,397,1513,9180,26.1967063704,43.3429998455
10,2016,Riyadh,141736,1430,4207,242851,23.0814341634,45.5857512766
11,2016,Tabouk,16031,434,1724,13610,27.90165499,37.2598581394
12,2017,Al-Jouf,10469,240,862,8091,29.967744576199998,39.5570371172
13,2017,Asir,25245,828,2368,39133,19.1387847401,42.941470036
14,2017,Eastern,81433,963,4073,126816,23.2883307307,50.1478302439
15,2017,Hail,9379,265,773,22035,27.400845724,41.4406960508
16,2017,Jazan,22161,466,2207,18345,17.207231396199997,42.6525807422
17,2017,Madinah,16070,580,2917,36165,24.927534539,39.4918237173
18,2017,Makkah,145541,1641,10623,142487,21.628962766,41.2636898334
19,2017,Najran,3193,194,766,13825,18.4511003068,46.868849572600006
20,2017,Northern Boarder,11540,112,374,5280,30.197074783,41.8171186952
21,2017,Al-Qassim,22405,319,1446,6318,26.1967063704,43.3429998455
22,2017,Riyadh,99925,1399,4540,495307,23.0814341634,45.5857512766
23,2017,Tabouk,11713,348,1243,10232,27.90165499,37.2598581394
